"BfL","Teichert","Beate","Hausverwalterin","1949","23566","Lübeck"
"GAL","Schubert","Hans-Jürgen","Lehrkraft","1945","23554","Lübeck"
"Die Unabhängigen","Stolzenberg","Hella","Lehrerin","1970","23560","Lübeck"
"DKP","Gädt","Wolfgang","Kfz-Elektriker","1961","23558","Lübeck"

"CDU","Klenz","Étienne André","Schüler","2003","23570","Lübeck"
"SPD","Dr. Lengen","Marek","Beamter","Dr. rer. nat.","1965","23556","Lübeck"
"BÜNDNIS 90/DIE GRUENEN","D'Amico","Kimberly","Rechtsanwältin / Notarin","1972","23564","Lübeck"
"FDP","Waghals","Johannes","Techn. Sachbearbeiter Explosionsschutz","1992","23556","Lübeck"
"AfD","Marten","Oliver","Kaufmännischer Angestellter","1968","23560","Lübeck"
"DIE LINKE","Bochynski","Hans-Peter","Rentner","1953","23556","Lübeck"
"FREIE WÄHLER","Farell","Saad","Selbstständig","1964","23556","Lübeck"
"Die PARTEI","Jürk","Madita","Social Media Managerin","1996","23554","Lübeck"
"Volt","Fischer","Marcel","Student","1992","23558","Lübeck"
"BfL","Kloss","Elvira","Dolmetscherin","1954","23570","Lübeck"
"GAL","Freitag","Uwe","Fotograf","1964","23556","Lübeck"
"Die Unabhängigen","Grocholski","Mathias","Finanzbeamter","1962","23556","Lübeck"
"DKP","Barg","Hans-Joachim","Fachverkäufer","1964","23552","Lübeck"

"CDU","Rohlf","Klaus","Unternehmer","1954","23568","Lübeck"
"SPD","Blankenburg","Kristin","Kindheitspädagogin","1987","23562","Lübeck"
"BÜNDNIS 90/DIE GRUENEN","Dr. Lorentzen","Catharina","Fachärztin für Frauenheilkunde i. R.","1957","23570","Lübeck"
"FDP","Dr. Wichern","Ronald","Physiker","1966","23560","Lübeck"
"AfD","Bublitz","Werner","Rentner","1947","23570","Lübeck"
"DIE LINKE","Runge-Heyne","Birgit","Krankenschwester","1973","23556","Lübeck"
"FREIE WÄHLER","Rudat","Frank","Angestellter","1967","23570","Lübeck"
"Die PARTEI","Kowatsch","Johann","Musiklehrerin","1989","23554","Lübeck"
"dieBasis","Zietz","Beate","selbstständige Schneidermeisterin","1969","23556","Lübeck"
"Volt","Dr. Haferkamp","Undine","Wissenschaftlerin","1989","23564","Lübeck"
"BfL","Steinmann","Joachim","Lehrer / Rentner","1949","23558","Lübeck"
"GAL","Kehl","Klaus","Maschinenschlosser","1942","23554","Lübeck"
"Die Unabhängigen","Dr. Federsel","Martin","Arzt","1961","23556","Lübeck"

"CDU","Zander","Anica","Angestellte","1970","23554","Lübeck"
