"FDP","Dr. Wichern","Ronald","Physiker","1966","23560","Lübeck","17"
"AfD","Bublitz","Werner","Rentner","1947","23570","Lübeck","17"
"DIE LINKE","Runge-Heyne","Birgit","Krankenschwester","1973","23556","Lübeck","17"
"FREIE WÄHLER","Rudat","Frank","Angestellter","1967","23570","Lübeck","17"
"Die PARTEI","Kowatsch","Johann","Musiklehrerin","1989","23554","Lübeck","17"
"dieBasis","Zietz","Beate","selbstständige Schneidermeisterin","1969","23556","Lübeck","17"
"Volt","Dr. Haferkamp","Undine","Wissenschaftlerin","1989","23564","Lübeck","17"
"BfL","Steinmann","Joachim","Lehrer / Rentner","1949","23558","Lübeck","17"
"GAL","Kehl","Klaus","Maschinenschlosser","1942","23554","Lübeck","17"
"Die Unabhängigen","Dr. Federsel","Martin","Arzt","1961","23556","Lübeck","17"
"CDU","Zander","Anica","Angestellte","1970","23554","Lübeck","18"
"SPD","Vahlendieck","Tamina","Angestellte","2003","23556","Lübeck","18"
"BÜNDNIS 90/DIE GRUENEN","Müller-Lornsen","Helmut","Unternehmer","1978","23560","Lübeck","18"
"FDP","Erler","Nico-André","Lebensmitteltechniker","1978","23554","Lübeck","18"
"AfD","Braun","Helga","Rentnerin","1931","23570","Lübeck","18"
"DIE LINKE","Martens","Hans-Jürgen","Groß- Außenhandelskaufmann","1960","23554","Lübeck","18"
"FREIE WÄHLER","Oldach","Nicole","Rechtsanwaltsfachangestellte","1986","23554","Lübeck","18"
"Die PARTEI","Langbehn","Bastian","Schnapshändler","1982","23566","Lübeck","18"
"dieBasis","Hornbogen","Gabriela","Architektin","1966","23568","Lübeck","18"
"PARTEI MENSCH","Dethlefs","Claus","Pensionär","1952","23554","Lübeck","18"
"Volt","Janßen","Martin","Lehramt Refarendar","1993","23558","Lübeck","18"
"BfL","Möller","Katrin","Hausfrau","1970","23569","Lübeck","18"
"GAL","Kehl","Ursula","Verwaltungsangestellt e i. R.","1938","23554","Lübeck","18"
"Die Unabhängigen","Schlüter","Eckard","Bundespolizeibeamter a. D.","1953","23564","Lübeck","18"
