"Flensburg WÄHLEN!","Özhizalan","Erkan","Unternehmer","1971","deutsch","24941","Flensburg","03"
"WiF","Arapsun","Fahrettin","Student","1986","deutsch","24939","Flensburg","03"
"CDU","Keil","Martin","Architekt","1979","deutsch","24937","Flensburg","04"
"BÜNDNIS 90/DIE GRÜNEN","Hansen","Pelle Boy","Projektkoordinator","1973","deutsch","24939","Flensburg","04"
"SPD","Hellwig","Lisa","Studentin","2000","deutsch","24939","Flensburg","04"
"FDP","Klattsess","David","Schüler","2004","deutsch","24944","Flensburg","04"
"SSW","König","Ulrike","Künstlerin","1976","deutsch","24937","Flensburg","04"
"DIE LINKE","Pepmeyer","Jörg Klaus","Dipl.-Pädagoge","1958","deutsch","24939","Flensburg","04"
"dieBasis","Lux","Ramona Petra","Köchin","1967","deutsch","24939","Flensburg","04"
"Volt","Struck","Fridjof","SAP-Berater","1992","deutsch","24937","Flensburg","04"
"BüsoS","Austermann","Philipp","IT-Unternehmer","1980","deutsch","24939","Flensburg","04"
"Flensburg WÄHLEN!","Rohr","Stefanie","Unternehmerin","1992","deutsch","24939","Flensburg","04"
"WiF","Lanver","Stefan","Kaufmännischer Angestellter","1966","deutsch","24937","Flensburg","04"
"CDU","Jürgensen","Ingrid","Verwaltungsfachwirtin","1972","deutsch","24943","Flensburg","05"
"BÜNDNIS 90/DIE GRÜNEN","Langholz-Kaiser","Marlene","wissenschaftl. Mitarbeiterin","1980","deutsch","24939","Flensburg","05"
"SPD","Bozdag","Ilayda","Schülerin","2003","deutsch","24939","Flensburg","05"
"FDP","Drews","Jens","selbstständiger Augenoptiker","1962","deutsch","24937","Flensburg","05"
"SSW","Dierking","Glenn","Architekt","1954","deutsch","24943","Flensburg","05"
"DIE LINKE","Trotz","Stefani","Rentnerin","1974","deutsch","24939","Flensburg","05"
"dieBasis","Teuser","Wilfried","Rentner","1954","deutsch","24939","Flensburg","05"
"Volt","Sallmann","Martina","Shopmanagerin E-Commerce","1981","deutsch","24937","Flensburg","05"
"BüsoS","Kock","Jürgen","Systemadministrator","1966","deutsch","24941","Flensburg","05"
